Country Name,City Name,Overall AQI,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Volatile_Organic_Compounds ,Sulfur_Dioxide,Emissions,Overall AQI Level
Germany,Amberg,42,1,Good,35,Good,2,GO,42,Good,91.54576115,15.32601499,Good,Good
Philippines,San Pedro,56,1,Good,25,Good,2,GO,56,Moderate,136.0721248,10.93677355,Good,Moderate
United States of America,Florida Ridge,48,1,Good,16,Good,8,GO,48,Good,101.5775313,13.95050648,Good,Good
Thailand,Nong Phai,44,0,Good,21,Good,0,GO,44,Good,124.7439936,-1.142823065,Good,Good
India,Deoranian,154,4,Good,33,Good,8,,154,Unhealthy,401.4001329,23.84249955,Good,Unhealthy
Azerbaijan,Yevlax,64,1,Good,44,Good,0,GO,64,Moderate,169.8058676,-4.961853912,Good,Moderate
United States of America,Anderson,65,2,Good,,Good,8,GO,65,Moderate,175.0046986,25.02978986,Good,Moderate
United Republic of Tanzania,Matui,21,0,Good,17,Good,0,GO,21,Good,69.90383435,2.761556789,Good,Good
Russian Federation,Novospasskoye,48,1001.368367,Good,34,Good,0,GO,48,Good,122.8058768,-8.106725756,Good,Good
China,Daokou,176,5,Good,176,Unhealthy,8,GO,173,Unhealthy,416.5556247,20.91380995,Unhealthy,Unhealthy
Italy,Lavello,52,1,Good,44,Good,2,GO,52,Moderate,135.2796654,6.989433286,Good,Moderate
Brazil,Itaberaba,16,0,Good,11,Good,0,GO,16,Good,49.86894811,-3.407688509,Good,Good
Guatemala,San Luis Jilotepeque,62,2,Good,10,Good,6,GO,62,Moderate,147.4485093,13.95351583,Good,Moderate
Belgium,Kortenberg,53,1,Good,38,Good,2,GO,53,Moderate,119.1379463,1.321605167,Good,Moderate
United Republic of Tanzania,Kabanga,171,6,Good,10,Good,3,GO,171,Unhealthy,431.5328689,6.740095506,Good,Unhealthy
